Sale_Date,Model,Segment,Fuel_Type,Transmission,State,Dealer_City,Channel,Units_Sold,Ex_Showroom_Price,Prev_Year_Units
2026-07-21,S-Presso,Mini,PETROL,Automatic,Gujarat,"Gujarat City 2",Domestic,40,476868,32
2026-07-18,Dzire,Compact,PETROL,AMT,Haryana,"Haryana City 3",Domestic,199,743707,165
2026-07-02,Victoris,UV,HYBRID,Automatic,"Uttar Pradesh","Uttar Pradesh City 4",Domestic,146,1357419,128
2026-07-28,S-Presso,Mini,CNG,AMT,"West Bengal","West Bengal City 3",Domestic,99,543132,62
2026-07-30,"Grand Vitara",UV,PETROL,Automatic,Rajasthan,"Rajasthan City 1",Domestic,215,1163659,187
2026-07-15,"Wagon R",Compact,CNG,Manual,"Tamil Nadu","Tamil Nadu City 5",OEM,72,775825,56
2026-07-26,"Grand Vitara",UV,HYBRID,Automatic,"Uttar Pradesh","Uttar Pradesh City 4",Domestic,157,1620785,119
2026-07-14,"Wagon R",Compact,CNG,Manual,Punjab,"Punjab City 3",OEM,200,626832,150
2026-07-17,Alto,Mini,CNG,AMT,Maharashtra,"Maharashtra City 1",Domestic,217,500612,140
2026-07-16,Brezza,UV,PETROL,AMT,"Madhya Pradesh","Madhya Pradesh City 5",Domestic,59,1050922,49
2026-07-08,Fronx,UV,PETROL,Manual,"Uttar Pradesh","Uttar Pradesh City 1",Domestic,22,812938,19
2026-07-16,Eeco,Van,CNG,Manual,"Uttar Pradesh","Uttar Pradesh City 1",Export,115,566438,82
2026-07-07,Swift,Compact,CNG,Manual,Delhi,"Delhi City 2",Domestic,123,715485,110
2026-07-28,swift,Compact,PETROL,AMT,"West Bengal","West Bengal City 4",Domestic,107,886569,61
2026-07-22,Victoris,UV,HYBRID,Manual,"Tamil Nadu","Tamil Nadu City 3",Domestic,19,1657314,16
2026-07-06,s-presso,Mini,PETROL,Automatic,Bihar,"Bihar City 2",Domestic,35,599336,22
2026-07-09,Dzire,Compact,PETROL,Automatic,Kerala,"Kerala City 3",Domestic,85,698033,47
2026-07-12,Celerio,Compact,PETROL,AMT,Bihar,"Bihar City 5",Export,82,720347,77
2026-07-24,Brezza,UV,PETROL,AMT,Gujarat,"Gujarat City 5",Domestic,188,1199536,118
2026-07-11,eeco,Van,PETROL,Automatic,Gujarat,"Gujarat City 2",Export,118,592309,98
2026-07-05,Alto,Mini,CNG,AMT,"Andhra Pradesh","Andhra Pradesh City 1",Domestic,58,485412,47
2026-07-26,"Wagon R",Compact,CNG,Manual,Karnataka,"Karnataka City 3",Domestic,210,755612,188
2026-07-10,Eeco,Van,PETROL,Manual,Maharashtra,"Maharashtra City 2",Domestic,89,556517,79
2026-07-19,Celerio,Compact,PETROL,Manual,Haryana,"Haryana City 4",Domestic,191,642228,138
2026-07-31,Victoris,UV,PETROL,AMT,Delhi,"Delhi City 1",Export,89,1703425,60
2026-07-31,Dzire,Compact,PETROL,Automatic,Haryana,"Haryana City 3",Domestic,145,660212,97
2026-07-26,Victoris,UV,PETROL,Automatic,"Uttar Pradesh","Uttar Pradesh City 3",OEM,174,1713686,138
2026-07-28,Eeco,Van,PETROL,AMT,Delhi,"Delhi City 5",Domestic,188,611272,132
2026-07-31,Victoris,UV,HYBRID,Manual,"Madhya Pradesh","Madhya Pradesh City 2",Domestic,121,1189816,105
2026-07-30,Brezza,UV,CNG,Manual,Punjab,"Punjab City 4",Domestic,71,1099249,62
2026-07-18,S-Presso,Mini,PETROL,Manual,,"Tamil Nadu City 4",Export,44,506086,25
2026-07-29,Eeco,Van,CNG,AMT,Maharashtra,"Maharashtra City 3",Domestic,197,571116,175
2026-07-22,"Grand Vitara",UV,HYBRID,Automatic,Karnataka,"Karnataka City 4",Domestic,164,1690069,91
2026-07-15,Baleno,Compact,CNG,AMT,Gujarat,"Gujarat City 4",Domestic,218,722942,160
2026-07-07,Alto,Mini,PETROL,Manual,Karnataka,"Karnataka City 4",Export,34,477138,25
2026-07-01,Celerio,Compact,CNG,AMT,Punjab,"Punjab City 2",Domestic,156,724427,100
2026-07-12,S-Presso,Mini,CNG,Manual,Bihar,"Bihar City 4",Domestic,32,563645,29
2026-07-25,Ertiga,UV,CNG,AMT,Bihar,"Bihar City 5",Domestic,87,998710,76
2026-07-16,Swift,Compact,CNG,AMT,Rajasthan,"Rajasthan City 3",OEM,184,880714,121
2026-07-15,Eeco,Van,PETROL,Manual,Gujarat,"Gujarat City 2",Domestic,182,551890,122
2026-07-08,S-Presso,Mini,PETROL,AMT,"Uttar Pradesh","Uttar Pradesh City 5",Export,52,500211,33
