Sale_Date,Model,Segment,Fuel_Type,Transmission,State,Dealer_City,Channel,Units_Sold,Ex_Showroom_Price,Prev_Year_Units
21-07-2026,S-Presso,Mini,petrol,Automatic,Gujarat,Gujarat City 2,Domestic,40,476868,32
18-07-2026,Dzire,Compact,Petrol,AMT,Haryana,Haryana City 3,Domestic,199,743707,165
02-07-2026,Victoris,UV,Hybrid,Automatic,Uttar Pradesh,Uttar Pradesh City 4,Domestic,146,1357419,128
28-07-2026,S-Presso,Mini,cng,AMT,West Bengal,West Bengal City 3,Domestic,99,543132,62
30-07-2026,Grand Vitara,UV,Petrol,Automatic,Rajasthan,Rajasthan City 1,Domestic,215,1163659,187
15-07-2026,Wagon R,Compact,CNG,Manual,Tamil Nadu,Tamil Nadu City 5,OEM,72,775825,56
26-07-2026, Grand Vitara  ,UV,Hybrid,Automatic,Uttar Pradesh,Uttar Pradesh City 4,Domestic,157,1620785,119
14-07-2026,Wagon R,Compact,CNG,Manual,Punjab,Punjab City 3,OEM,200,626832,150
17-07-2026,Alto,Mini,cng,AMT,Maharashtra,Maharashtra City 1,Domestic,217,500612,140
16-07-2026,Brezza,UV,Petrol,AMT,Madhya Pradesh,Madhya Pradesh City 5,Domestic,59,1050922,49
08-07-2026,Fronx,UV,Petrol,Manual,Uttar Pradesh,Uttar Pradesh City 1,Domestic,22,812938,19
16-07-2026,Eeco,Van,CNG,Manual,Uttar Pradesh,Uttar Pradesh City 1,Export,115,566438,82
07-07-2026,Swift,Compact,CNG,Manual,Delhi,Delhi City 2,Domestic,123,715485,110
28-07-2026,swift,Compact,Petrol,AMT,West Bengal,West Bengal City 4,Domestic,107,886569,61
22-07-2026,Victoris,UV,Hybrid,Manual,Tamil Nadu,Tamil Nadu City 3,Domestic,19,1657314,16
06-07-2026,s-presso,Mini,Petrol,Automatic,Bihar,Bihar City 2,Domestic,35,599336,22
09-07-2026,Dzire,Compact,petrol,Automatic,Kerala,Kerala City 3,Domestic,85,698033,47
12-Jul-26,Celerio,Compact,Petrol,AMT,Bihar,Bihar City 5,Export,82,720347,77
24-Jul-26,Brezza,UV,Petrol,AMT,Gujarat,Gujarat City 5,Domestic,188,1199536,118
11-07-2026,eeco,Van,Petrol,Automatic,Gujarat,Gujarat City 2,Export,118,592309,98
05-07-2026,Alto,Mini,CNG,AMT,Andhra Pradesh,Andhra Pradesh City 1,Domestic,58,485412,47
26-07-2026,Wagon R,Compact,cng,Manual,Karnataka,Karnataka City 3,Domestic,210,755612,188
10-07-2026,Eeco,Van,Petrol,Manual,Maharashtra,Maharashtra City 2,Domestic,89,556517,79
19-07-2026,Celerio,Compact,PETROL,Manual,Haryana,Haryana City 4,Domestic,191,642228,138
31-07-2026,Victoris,UV,Petrol,AMT,Delhi,Delhi City 1,Export,89,1703425,60
31-07-2026,Dzire,Compact,Petrol,Automatic,Haryana,Haryana City 3,Domestic,145,660212,97
26-07-2026,Victoris,UV,Petrol,Automatic,Uttar Pradesh,Uttar Pradesh City 3,OEM,174,1713686,138
28-07-2026,Eeco,Van,petrol,AMT,Delhi,Delhi City 5,Domestic,188,611272,132
31-Jul-26,Victoris,UV,Hybrid,Manual,Madhya Pradesh,Madhya Pradesh City 2,Domestic,121,1189816,105
30-07-2026,Brezza,UV,CNG,Manual,Punjab,Punjab City 4,Domestic,71,1099249,62
18-07-2026,S-Presso,Mini,petrol,Manual,,Tamil Nadu City 4,Export,44,506086,25
